Epoch,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Val 1stPred. MRE,Val 2ndPred. MRE,,,Compare,Train 1stPred. Loss,Train 2ndPred. Loss,Val 1stPred. Loss,Val 2ndPred. Loss,Method1 ValMRE,Val 2ndPred. MRE,,,,Method 1 diff.,Accu. 1,Method 2 diff.,Accu. 2
118,0.010693739,0.010783299,0.041235535,0.041580386,33.44404984,33.4388504,,,,,,,,,,,,,,,,
119,0.011216544,0.011066819,0.054521936,0.053838334,64.40348816,64.4200592,,,,,,,,,,,,,,,,
120,0.010941767,0.010670893,0.044719527,0.044492219,33.98817444,33.84583282,,,,,,,,,,,,,,,,
121,0.010521872,0.010272398,0.050440765,0.052520654,47.75694275,48.20406723,,,,,,,,,,,,,,,,
122,0.010202282,0.010217014,0.049189948,0.048888328,38.20770645,38.40651703,,,,,,,,,,,,,,,,
123,0.009899747,0.009993661,0.055265762,0.055423301,50.72776794,50.45776367,,,,,,,,,,,,,,,,
124,0.009896643,0.009769631,0.040097848,0.039350717,27.92340088,27.81698227,,,,,,,,,,,,,,,,
125,0.009853775,0.009911236,0.047223089,0.047560825,33.86462021,33.98391724,,,,,,,,,,,,,,,,
126,0.009841251,0.009816836,0.060852811,0.060472842,64.41880798,64.86611938,,,,,,,,,,,,,,,,
127,0.009717477,0.009642454,0.064353907,0.064028691,70.06181335,69.78768921,,,,,,,,,,,,,,,,
128,0.009966456,0.009820052,0.056366953,0.056258959,53.48368835,53.34978104,,,,,,,,,,,,,,,,
129,0.00993826,0.009820064,0.058799261,0.0582478,58.42316437,58.32276154,,,,,,,,,,,,,,,,
130,0.009977993,0.010093823,0.043360418,0.043650734,30.62518501,30.72146797,,,,,,,,,,,,,,,,
131,0.009875254,0.009797929,0.06222959,0.061773427,62.8303566,62.68076706,,,,,,,,,,,,,,,,
132,0.009924984,0.009749331,0.049214656,0.049155523,34.54917145,34.59906006,,,,,,,,,,,,,,,,
133,0.009827141,0.009691802,0.035392306,0.036176691,25.72755241,25.90051842,,,,,,,,,,,,,,,,
134,0.009691784,0.009673529,0.037712513,0.037548468,25.72103119,25.71995735,,,,,,,,,,,,,,,,
135,0.00966861,0.009562746,0.046397413,0.0459737,31.90353203,31.86512947,,,,,,,,,,,,,,,,
136,0.009773138,0.009626835,0.073800674,0.073188135,63.52528,63.20417023,,,,,,,,,,,,,,,,
137,0.009747048,0.009629467,0.061050252,0.060546213,66.26625824,66.41479492,,,,,,,,,,,,,,,,
138,0.009598555,0.009617968,0.045496276,0.045299288,32.95908356,32.93238068,,,,,,,,,,,,,,,,
139,0.009671003,0.009531539,0.041833791,0.042329473,28.95092773,29.12960434,,,,,,,,,,,,,,,,
140,0.009708197,0.009569419,0.065232609,0.065068229,62.02663422,61.82878876,,,,,,,,,,,,,,,,
141,0.009874702,0.009775464,0.057984447,0.057682893,53.86963654,54.01423645,,,,,,,,,,,,,,,,
142,0.010996104,0.011018497,0.051857052,0.052301651,53.50489044,54.39764023,,,,,,,,,,,,,,,,
143,0.010555052,0.010441072,0.043460468,0.043618726,31.99826813,32.07670212,,,,,,,,,,,,,,,,
